no,Nama Partai,Nama Calon Legislatif,Jenis KeLamin,Kecamatan,No Urut Parpol,Suara Sah Partai,Jumlah Perolehan Kursi,Daerah Pemilihan,No Urut Caleg,Suara Sah Caleg,Terpilih atau Tidak
1,Partai Hati Nurani Rakyat,"H. Jamaluddin Lamanda, SH",L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,1,2425,TIDAK
2,Partai Hati Nurani Rakyat,Suprawito,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,2,3348,YA
3,Partai Hati Nurani Rakyat,Hj. Endang Barnita,P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,3,470,TIDAK
4,Partai Hati Nurani Rakyat,Syarifuddin,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,4,424,TIDAK
5,Partai Hati Nurani Rakyat,Iksan S. Chaeruddin,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,5,959,TIDAK
6,Partai Hati Nurani Rakyat,Hj. Siti Mariam,P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,6,459,TIDAK
7,Partai Hati Nurani Rakyat,Bustami Rahawarin,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,7,126,TIDAK
8,Partai Hati Nurani Rakyat,Edutino Adriaan,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,8,69,TIDAK
9,Partai Hati Nurani Rakyat,Dr. Griselda P.S Aer,P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,9,326,TIDAK
10,Partai Hati Nurani Rakyat,H. Nahwori,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,10,0,TIDAK
11,Partai Hati Nurani Rakyat,H. Buhari,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,11,410,TIDAK
12,Partai Hati Nurani Rakyat,"Maenah, Amk",P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,12,617,TIDAK
13,Partai Hati Nurani Rakyat,"Dian Esha Fauzan Prasetya, SE",L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,13,644,TIDAK
14,Partai Hati Nurani Rakyat,M. Atip,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,14,30,TIDAK
15,Partai Hati Nurani Rakyat,Humayrah Royani FD,P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,15,53,TIDAK
16,Partai Hati Nurani Rakyat,Danu Jamaludin Saifudun,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,16,194,TIDAK
17,Partai Hati Nurani Rakyat,"Reza Rama Valiandra, SH",L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,17,1861,TIDAK
18,Partai Hati Nurani Rakyat,"Omay Chusmayadi, SH",L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,18,229,TIDAK
19,Partai Hati Nurani Rakyat,Drs. H. Mabrur Abduh,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,19,2645,TIDAK
20,Partai Hati Nurani Rakyat,"Veri Yonnevil Munir, SH",L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,1,3397,TIDAK
21,Partai Hati Nurani Rakyat,Rachmat HS,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,2,777,TIDAK
22,Partai Hati Nurani Rakyat,Hj. Ismarini,P,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,3,855,TIDAK
23,Partai Hati Nurani Rakyat,Dhalia Bawole,P,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,4,661,TIDAK
24,Partai Hati Nurani Rakyat,Hastory Aditya Karma,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,5,807,TIDAK
25,Partai Hati Nurani Rakyat,Sukarno,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,6,155,TIDAK
26,Partai Hati Nurani Rakyat,Dra. Farida Listuti,P,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,7,179,TIDAK
27,Partai Hati Nurani Rakyat,H.Ahmad Laisak,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,8,641,TIDAK
28,Partai Hati Nurani Rakyat,"Erri Riizki Rahman, SH",L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,9,232,TIDAK
29,Partai Hati Nurani Rakyat,Taty Suharti Djemani,P,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,10,138,TIDAK
30,Partai Hati Nurani Rakyat,Dwinanto Agung H,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,11,71,TIDAK
31,Partai Hati Nurani Rakyat,"H. Muhammad Guntur, SE,MM",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,1,4404,YA
32,Partai Hati Nurani Rakyat,Abdul Canter Sangaji,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,2,1753,TIDAK
33,Partai Hati Nurani Rakyat,"Dian Ekasari, SH",P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,3,765,TIDAK
34,Partai Hati Nurani Rakyat,"H. Muhammad Fahmi, SE",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,4,1089,TIDAK
